"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5584","Extra Challenge: Função de Gerenciamento Completo do Fluxo","OAuth2 Authentication Challenge","2026-01-20","passed","2026-01-20","","","",""
"","1718","Scenario 4: Negação de Autorização","OAuth2 Authentication Challenge","2026-01-20","passed","2026-01-20","","","",""
"","341","Scenario 1: Fail to locate element using traditional selector","Shadow DOM Challenge","2026-01-20","passed","2026-01-20","","","",""
"","520","Scenario 3: Interact with Encapsulated Elements","Shadow DOM Challenge","2026-01-20","passed","2026-01-20","","","",""
"","1899","Scenario 5: Validação de State","OAuth2 Authentication Challenge","2026-01-20","passed","2026-01-20","","","",""
"","615","Scenario 5: State Validation","Shadow DOM Challenge","2026-01-20","passed","2026-01-20","","","",""
"","2424","Scenario 1: Iniciar Fluxo OAuth2","OAuth2 Authentication Challenge","2026-01-20","passed","2026-01-20","","","",""
"","198","Scenario 2: Access Shadow Root (Open Mode)","Shadow DOM Challenge","2026-01-20","passed","2026-01-20","","","",""
"","1821","Scenario 3: Validação de Token","OAuth2 Authentication Challenge","2026-01-20","passed","2026-01-20","","","",""
"","640","Scenario 4: Nested Shadow DOMs (Recursive Search)","Shadow DOM Challenge","2026-01-20","passed","2026-01-20","","","",""
"","254","Extra: Reusable Helper","Shadow DOM Challenge","2026-01-20","passed","2026-01-20","","","",""
"","1727","Scenario 2: Autorização no Provider","OAuth2 Authentication Challenge","2026-01-20","passed","2026-01-20","","","",""
